row_source,run_config_filename,run_config_path,run_dir,run.run_id,run.model_name,run.migrated_legacy_checkpoint,run.migrated_at_utc,run.source_checkpoint_mtime_utc,paths.run_output_dir,paths.run_checkpoint_path,paths.active_checkpoint_path,paths.migrated_from_checkpoint_path,configuration.model_name,configuration.best_val_f1,configuration.best_epoch,configuration.total_epochs,configuration.best_threshold,configuration.batch_size,configuration.train_batch_size_frozen,configuration.train_batch_size_unfrozen,configuration.val_batch_size,configuration.grad_accum_steps_frozen,configuration.grad_accum_steps_unfrozen,configuration.effective_batch_frozen,configuration.effective_batch_unfrozen,configuration.use_amp,configuration.learning_rate,configuration.learning_rates,configuration.use_differential_lr,configuration.base_learning_rate,configuration.backbone_base_lr,configuration.head_base_lr,configuration.lr_milestones,configuration.lr_decay_factor,configuration.freeze_backbone_at_start,configuration.unfreeze_backbone_epoch,configuration.training_plan_token,configuration.th_multi_label,configuration.val_split,configuration.train_metrics_every_n_epochs,configuration.val_every_n_epochs,configuration.seed,configuration.num_workers,configuration.num_classes,configuration.early_stopping_enabled,configuration.early_stopping_patience,configuration.early_stopping_min_delta,results.best_val_f1,results.best_epoch,results.total_epochs,results.best_threshold,artifacts.checkpoint_file,artifacts.config_file,artifacts.confusion_matrix_file,artifacts.confusion_matrix_generated,artifacts.migration.from_legacy_checkpoint,run.duration_seconds,results.best_val_loss,results.best_val_accuracy,results.best_val_precision,results.best_val_recall
run_config,run_config.json,C:\Users\Lanxe\OneDrive\Master MINDS M1\Machine Learning Computer Vision\ms-coco\trained_models\convnext_base_20260224-093654\run_config.json,C:\Users\Lanxe\OneDrive\Master MINDS M1\Machine Learning Computer Vision\ms-coco\trained_models\convnext_base_20260224-093654,convnext_base_20260224-093654,convnext_base,True,2026-02-26T10:47:30.479391+00:00,2026-02-24T09:36:54+00:00,trained_models\convnext_base_20260224-093654,trained_models\convnext_base_20260224-093654\best_model.pt,trained_models\best_model.pt,trained_models\convnext_base\best_model_convnext_base_ep-25_bs-256to8_tp-uf1-frz1-blr0p000010-hlr0p000100-bs256to8-ga1to4-amp1-ms9_th-0p500_vs-0p050_te-25_ve-1_sd-42_nw-4_nc-80.pt,convnext_base,0.6336171627044678,17,25,0.95,8,256,8,256,1,4,256,32,True,1.0000000000000001e-07,"[1.0000000000000001e-07, 1.0000000000000002e-06]",True,,1e-05,0.0001,[9],0.01,True,1.0,uf1-frz1-blr0p000010-hlr0p000100-bs256to8-ga1to4-amp1-ms9,0.5,0.05,25,1,42,4,80,False,4,0.0,0.6336171627044678,17,25,0.95,best_model.pt,run_config.json,confusion_matrix.png,False,trained_models\convnext_base\best_model_convnext_base_ep-25_bs-256to8_tp-uf1-frz1-blr0p000010-hlr0p000100-bs256to8-ga1to4-amp1-ms9_th-0p500_vs-0p050_te-25_ve-1_sd-42_nw-4_nc-80.pt,,,,,
run_config,run_config.json,C:\Users\Lanxe\OneDrive\Master MINDS M1\Machine Learning Computer Vision\ms-coco\trained_models\convnext_small_20260223-215240\run_config.json,C:\Users\Lanxe\OneDrive\Master MINDS M1\Machine Learning Computer Vision\ms-coco\trained_models\convnext_small_20260223-215240,convnext_small_20260223-215240,convnext_small,True,2026-02-26T10:47:36.381537+00:00,2026-02-23T21:52:40+00:00,trained_models\convnext_small_20260223-215240,trained_models\convnext_small_20260223-215240\best_model.pt,trained_models\best_model.pt,trained_models\convnext_small\best_model_convnext_small_ep-25_bs-256to16_tp-uf1-frz1-blr0p000010-hlr0p000100-bs256to16-ga1to4-amp1-ms9_th-0p500_vs-0p050_te-25_ve-1_sd-42_nw-4_nc-80.pt,convnext_small,0.6325985789299011,25,25,0.95,16,256,16,256,1,4,256,64,True,1.0000000000000001e-07,"[1.0000000000000001e-07, 1.0000000000000002e-06]",True,,1e-05,0.0001,[9],0.01,True,1.0,uf1-frz1-blr0p000010-hlr0p000100-bs256to16-ga1to4-amp1-ms9,0.5,0.05,25,1,42,4,80,False,4,0.0,0.6325985789299011,25,25,0.95,best_model.pt,run_config.json,confusion_matrix.png,False,trained_models\convnext_small\best_model_convnext_small_ep-25_bs-256to16_tp-uf1-frz1-blr0p000010-hlr0p000100-bs256to16-ga1to4-amp1-ms9_th-0p500_vs-0p050_te-25_ve-1_sd-42_nw-4_nc-80.pt,,,,,
run_config,run_config.json,C:\Users\Lanxe\OneDrive\Master MINDS M1\Machine Learning Computer Vision\ms-coco\trained_models\convnext_tiny_20260223-104033\run_config.json,C:\Users\Lanxe\OneDrive\Master MINDS M1\Machine Learning Computer Vision\ms-coco\trained_models\convnext_tiny_20260223-104033,convnext_tiny_20260223-104033,convnext_tiny,True,2026-02-26T10:47:43.253078+00:00,2026-02-23T10:40:33+00:00,trained_models\convnext_tiny_20260223-104033,trained_models\convnext_tiny_20260223-104033\best_model.pt,trained_models\best_model.pt,trained_models\convnext_tiny\best_model_convnext_tiny_ep-18_bs-256to16_tp-uf1-frz1-blr0p000010-hlr0p000100-bs256to16-ga1to4-amp1-ms9_th-0p500_vs-0p050_te-18_ve-1_sd-42_nw-4_nc-80.pt,convnext_tiny,0.6240886449813843,15,18,0.95,16,256,16,256,1,4,256,64,True,1.0000000000000002e-06,"[1.0000000000000002e-06, 1e-05]",True,,1e-05,0.0001,[9],0.1,True,1.0,uf1-frz1-blr0p000010-hlr0p000100-bs256to16-ga1to4-amp1-ms9,0.5,0.05,18,1,42,4,80,True,4,0.0,0.6240886449813843,15,18,0.95,best_model.pt,run_config.json,confusion_matrix.png,False,trained_models\convnext_tiny\best_model_convnext_tiny_ep-18_bs-256to16_tp-uf1-frz1-blr0p000010-hlr0p000100-bs256to16-ga1to4-amp1-ms9_th-0p500_vs-0p050_te-18_ve-1_sd-42_nw-4_nc-80.pt,,,,,
run_config,run_config.json,C:\Users\Lanxe\OneDrive\Master MINDS M1\Machine Learning Computer Vision\ms-coco\trained_models\convnext_tiny_20260223-182654\run_config.json,C:\Users\Lanxe\OneDrive\Master MINDS M1\Machine Learning Computer Vision\ms-coco\trained_models\convnext_tiny_20260223-182654,convnext_tiny_20260223-182654,convnext_tiny,True,2026-02-26T10:47:50.354080+00:00,2026-02-23T18:26:54+00:00,trained_models\convnext_tiny_20260223-182654,trained_models\convnext_tiny_20260223-182654\best_model.pt,trained_models\best_model.pt,trained_models\convnext_tiny\best_model_convnext_tiny_ep-25_bs-256to16_tp-uf1-frz1-blr0p000010-hlr0p000100-bs256to16-ga1to4-amp1-ms9_th-0p500_vs-0p050_te-25_ve-1_sd-42_nw-4_nc-80.pt,convnext_tiny,0.6181309819221497,14,25,0.95,16,256,16,256,1,4,256,64,True,1.0000000000000001e-07,"[1.0000000000000001e-07, 1.0000000000000002e-06]",True,,1e-05,0.0001,[9],0.01,True,1.0,uf1-frz1-blr0p000010-hlr0p000100-bs256to16-ga1to4-amp1-ms9,0.5,0.05,25,1,42,4,80,False,4,0.0,0.6181309819221497,14,25,0.95,best_model.pt,run_config.json,confusion_matrix.png,False,trained_models\convnext_tiny\best_model_convnext_tiny_ep-25_bs-256to16_tp-uf1-frz1-blr0p000010-hlr0p000100-bs256to16-ga1to4-amp1-ms9_th-0p500_vs-0p050_te-25_ve-1_sd-42_nw-4_nc-80.pt,,,,,
run_config,run_config.json,C:\Users\Lanxe\OneDrive\Master MINDS M1\Machine Learning Computer Vision\ms-coco\trained_models\convnext_tiny_20260223-093726\run_config.json,C:\Users\Lanxe\OneDrive\Master MINDS M1\Machine Learning Computer Vision\ms-coco\trained_models\convnext_tiny_20260223-093726,convnext_tiny_20260223-093726,convnext_tiny,True,2026-02-26T10:47:46.850480+00:00,2026-02-23T09:37:26+00:00,trained_models\convnext_tiny_20260223-093726,trained_models\convnext_tiny_20260223-093726\best_model.pt,trained_models\best_model.pt,trained_models\convnext_tiny\best_model_convnext_tiny_ep-18_bs-256to32_tp-uf1-frz1-blr0p000010-hlr0p000100-bs256to32-ga1to4-amp1-ms9_th-0p500_vs-0p050_te-18_ve-1_sd-42_nw-4_nc-80.pt,convnext_tiny,0.6096468567848206,14,18,0.95,32,256,32,256,1,4,256,128,True,1.0000000000000002e-06,"[1.0000000000000002e-06, 1e-05]",True,,1e-05,0.0001,[9],0.1,True,1.0,uf1-frz1-blr0p000010-hlr0p000100-bs256to32-ga1to4-amp1-ms9,0.5,0.05,18,1,42,4,80,True,4,0.0,0.6096468567848206,14,18,0.95,best_model.pt,run_config.json,confusion_matrix.png,False,trained_models\convnext_tiny\best_model_convnext_tiny_ep-18_bs-256to32_tp-uf1-frz1-blr0p000010-hlr0p000100-bs256to32-ga1to4-amp1-ms9_th-0p500_vs-0p050_te-18_ve-1_sd-42_nw-4_nc-80.pt,,,,,
run_config,run_config.json,C:\Users\Lanxe\OneDrive\Master MINDS M1\Machine Learning Computer Vision\ms-coco\trained_models\convnext_tiny_20260217-084242\run_config.json,C:\Users\Lanxe\OneDrive\Master MINDS M1\Machine Learning Computer Vision\ms-coco\trained_models\convnext_tiny_20260217-084242,convnext_tiny_20260217-084242,convnext_tiny,True,2026-02-26T10:47:39.609786+00:00,2026-02-17T08:42:42+00:00,trained_models\convnext_tiny_20260217-084242,trained_models\convnext_tiny_20260217-084242\best_model.pt,trained_models\best_model.pt,trained_models\convnext_tiny\best_model_convnext_tiny_ep-18_bs-256_tp-ufnone-frz1-blr0p000010-hlr0p000100-bs256to32-ga1to4-amp1-ms9_th-0p500_vs-0p050_te-18_ve-1_sd-42_nw-4_nc-80.pt,convnext_tiny,0.5717658400535583,17,18,0.95,256,256,32,256,1,4,256,128,True,1.0000000000000002e-06,"[1.0000000000000002e-06, 1e-05]",True,,1e-05,0.0001,[9],0.1,True,,ufnone-frz1-blr0p000010-hlr0p000100-bs256to32-ga1to4-amp1-ms9,0.5,0.05,18,1,42,4,80,True,4,0.0,0.5717658400535583,17,18,0.95,best_model.pt,run_config.json,confusion_matrix.png,False,trained_models\convnext_tiny\best_model_convnext_tiny_ep-18_bs-256_tp-ufnone-frz1-blr0p000010-hlr0p000100-bs256to32-ga1to4-amp1-ms9_th-0p500_vs-0p050_te-18_ve-1_sd-42_nw-4_nc-80.pt,,,,,
